antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Weather_Rain', 'Airline=United Air Lines Inc.'})",frozenset({'Delay_Class=Severe'}),0.01265827898305564,0.06737145292481585,0.001656261172188547,0.1308441040370193,1.9421297650065033,1.0,0.0008034545255724281,1.0730279244575325,0.4913206204597354,0.02113293129220143,0.0680578042686555,0.07771406221188396
frozenset({'Airline=Skywest Airlines Inc.'}),"frozenset({'Weather_Freezing', 'Delay_Class=Severe'})",0.09421702272915485,0.006196840580822515,0.0011149465451805829,0.011833812116794578,1.9096525015371397,1.0,0.0005310986753282788,1.0057044772479489,0.5258925488253208,0.011228184370041902,0.005672120764102379,0.09587779262945334
frozenset({'Weather_Rain'}),"frozenset({'Delay_Class=Severe', 'Airline=JetBlue Airways'})",0.12115146508419665,0.0055989706942764055,0.001294711477283974,0.010686717460529167,1.908693230249223,1.0,0.0006163879747089059,1.0051427054059086,0.5417103412550006,0.010320066975785677,0.005116393302413366,0.12096384935075521
"frozenset({'Tier_Name=Tier_4_MegaHub', 'Weather_Rain'})",frozenset({'Delay_Class=Severe'}),0.07021941420870102,0.06737145292481585,0.0089781474516806,0.12785847835466704,1.897813878191889,1.0,0.004247363492910954,1.0693545989138777,0.5088059981866325,0.06980761680408323,0.06485650221574765,0.1305609285792223
"frozenset({'Airline=Frontier Airlines Inc.', 'Tier_Name=Tier_4_MegaHub'})",frozenset({'Delay_Class=Severe'}),0.017655340129390355,0.06737145292481585,0.0021955559684987205,0.12435648095183618,1.8458334435894326,1.0,0.001006090052099886,1.0650778847640692,0.4664750863239861,0.026506376649028263,0.06110152665359757,0.07847264911030574
"frozenset({'Airline=Southwest Airlines Co.', 'Tier_Name=Tier_4_MegaHub', 'Weather_Rain'})",frozenset({'Delay_Class=Severe'}),0.009812337529868246,0.06737145292481585,0.0012179579107679194,0.12412515438452039,1.8423998443827485,1.0,0.0005568864747919971,1.0647965879415382,0.4617606054648282,0.016032969954799255,0.060853489460181966,0.07110170176129033
frozenset({'Airline=Frontier Airlines Inc.'}),frozenset({'Delay_Class=Severe'}),0.026124490245227644,0.06737145292481585,0.0031872928411140577,0.12200402041131901,1.81091567889253,1.0,0.0014272479763728927,1.0622241658920775,0.4598053540417745,0.03529332826373823,0.05857912848350646,0.08465663469973836
frozenset({'Weather_Rain'}),"frozenset({'Tier_Name=Tier_4_MegaHub', 'Delay_Class=Severe', 'Airline=United Air Lines Inc.'})",0.12115146508419665,0.006180681935240188,0.001318949445657465,0.01088678081392441,1.7614206535773367,1.0,0.0005701507739836884,1.0047578970611237,0.4918668293311125,0.010466756427518112,0.0047353666739425974,0.11214273681219097
frozenset({'Weather_Rain'}),"frozenset({'Tier_Name=Tier_4_MegaHub', 'Delay_Class=Severe'})",0.12115146508419665,0.0430244136936442,0.0089781474516806,0.07410680048682082,1.7224360339805926,1.0,0.003765676698307032,1.0335701642581665,0.47724596386794743,0.05784973385218058,0.032479811646131417,0.14139122475869137
"frozenset({'Weather_Rain', 'Airline=Delta Air Lines Inc'})","frozenset({'Tier_Name=Tier_4_MegaHub', 'Delay_Class=Severe'})",0.019612556075549747,0.0430244136936442,0.0014522582717116652,0.07404737384140063,1.721054803178859,1.0,0.0006084395455274178,1.0335038308346918,0.42734225166947193,0.023735639772877327,0.03241771325378939,0.05390082883892011
frozenset({'Weather_Rain'}),frozenset({'Delay_Class=Severe'}),0.12115146508419665,0.06737145292481585,0.014021664704064506,0.1157366499391474,1.717888585070377,1.0,0.005859514477372081,1.0546954671490154,0.47549726230161937,0.08035280227793597,0.05185901414449473,0.16193068443592057
frozenset({'Tier_Name=Tier_3_Efficient'}),"frozenset({'Airline=Southwest Airlines Co.', 'Delay_Class=Severe'})",0.0978931145991343,0.011379726151353993,0.0019047003480168292,0.01945693888499154,1.7097897283474168,1.0,0.0007907035117755673,1.0082374890547414,0.4601813447682172,0.017739902552815247,0.008170187226884784,0.09341679035126396
"frozenset({'Tier_Name=Tier_4_MegaHub', 'Weather_Rain'})","frozenset({'Airline=American Airlines Inc.', 'Delay_Class=Severe'})",0.07021941420870102,0.011824088904867995,0.001411861657755847,0.02010642887962031,1.7004632696344548,1.0,0.0005815810613044151,1.0084522852469402,0.44303459269522966,0.017510020040080163,0.008381442900761999,0.06975598177838206
frozenset({'Airline=Spirit Air Lines'}),"frozenset({'Tier_Name=Tier_4_MegaHub', 'Delay_Class=Severe'})",0.03849595326919698,0.0430244136936442,0.00281564399272053,0.07314129807440053,1.6999952305034052,1.0,0.0011593781737354043,1.0324935012404661,0.4282489053820525,0.035774778011599846,0.03147090146468485,0.06929211751285869
frozenset({'Weather_Rain'}),"frozenset({'Delay_Class=Severe', 'Airline=United Air Lines Inc.'})",0.12115146508419665,0.008063164145581317,0.001656261172188547,0.013670995815341523,1.69548772274881,1.0,0.0006793970227370058,1.0056855589219906,0.46674619426206204,0.012984339619653854,0.00565341609169078,0.10954090872931405
"frozenset({'Tier_Name=Tier_4_MegaHub', 'Airline=Spirit Air Lines'})",frozenset({'Delay_Class=Severe'}),0.025102455912145445,0.06737145292481585,0.00281564399272053,0.11216607660122303,1.664890272240327,1.0,0.0011244550659381578,1.0504538320690944,0.40964285744329276,0.03140417671044627,0.048030508841797284,0.07697945562934784
frozenset({'Airline=American Airlines Inc.'}),"frozenset({'Delay_Class=Severe', 'Tier_Name=Tier_1_HighRisk'})",0.1387825672452135,0.004484024149095823,0.0010139550102910373,0.007306068985591616,1.6293554054709634,1.0,0.00039165062728998494,1.0028428146363422,0.44850504100428057,0.007127846879082182,0.0028347559506352346,0.11671609755585885
