Dep_Airport,AIRPORT,CITY,STATE,Performance_Tier,total_flights,avg_dep_delay,delay_volatility,unique_airlines,LATITUDE,LONGITUDE
MBS,MBS International Airport,Saginaw,MI,3,1586,8.252837326607818,59.33646567783531,2,43.53291,-84.07965
MCI,Kansas City International Airport,Kansas City,MO,0,47815,10.479075603889992,53.94307995623769,14,39.29761,-94.71391
MCO,Orlando International Airport,Orlando,FL,4,161846,19.553019537090815,58.37274234839001,8,28.42889,-81.31603
MDT,Harrisburg International Airport,Harrisburg,PA,0,5481,10.659916073709176,82.98362128823821,10,40.1935,-76.7634
MDW,Chicago Midway International Airport,Chicago,IL,4,83695,13.856789533424935,39.0884682535857,6,41.78598,-87.75242
MEM,Memphis International Airport,Memphis,TN,0,22668,11.833245103229222,70.37130273217772,12,35.04242,-89.97667
MFE,McAllen-Miller International Airport (McAllen Miller International),McAllen,TX,2,2966,12.180040458530007,89.14832148583639,5,26.17583,-98.23861
MFR,Rogue Valley International Airport,Medford,OR,3,4671,7.743523870691501,64.60585613567024,3,42.37423,-122.8735
MGM,Montgomery Regional Airport,Montgomery,AL,2,2295,14.222657952069717,76.24095476181583,4,32.30064,-86.39398
MHT,Manchester-Boston Regional Airport,Manchester,NH,3,6120,8.482843137254902,50.26691332620196,7,42.93452,-71.43706
MIA,Miami International Airport,Miami,FL,1,101189,18.80211287788198,67.29650230670849,11,25.79325,-80.29056
MKE,General Mitchell International Airport,Milwaukee,WI,0,25702,9.946735662594351,59.563895072821865,13,42.94722,-87.89658
MLB,Melbourne International Airport,Melbourne,FL,3,2669,5.380666916448108,55.40825460674204,3,28.10275,-80.64581
MLI,Quad City International Airport,Moline,IL,3,3194,9.122103944896681,62.96461849159327,6,41.44853,-90.50754
MLU,Monroe Regional Airport,Monroe,LA,3,1784,7.484304932735426,53.961451314877706,3,32.51087,-92.03769
MOB,Mobile Regional Airport,Mobile,AL,3,2528,6.981803797468355,45.966226839747605,5,30.69142,-88.24283
MOT,Minot International Airport,Minot,ND,2,1986,11.191842900302115,66.42592855057458,3,48.25938,-101.28033
MRY,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,CA,2,3918,11.929555895865237,81.79941867732158,4,36.58698,-121.84295
MSN,Dane County Regional Airport,Madison,WI,0,10350,10.842222222222222,79.90711425027476,9,43.13986,-89.33751
MSO,Missoula International Airport,Missoula,MT,2,3799,13.324822321663596,74.115268181981,6,46.91631,-114.09056
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,4,120279,8.129781591133947,46.59496136666127,14,44.88055,-93.21692
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,0,48969,12.751740897302374,58.97584419384142,14,29.99339,-90.25803
MTJ,Montrose Regional Airport,Montrose,CO,2,2634,13.749430523917995,73.58764258324412,6,38.50887,-107.89383
MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,1,1088,27.857536764705884,101.04183562584747,3,41.39303,-70.61433
MYR,Myrtle Beach International Airport,Myrtle Beach,SC,0,14167,7.925248817674878,60.00043286498405,11,33.67975,-78.92833
OAJ,Albert J. Ellis Airport,Jacksonville,NC,2,1142,12.311733800350263,85.34294903925048,4,34.82916,-77.61214
OAK,Oakland International Airport,Oakland,CA,3,45498,10.027715503978197,32.498031188664484,8,37.72129,-122.22072
OGG,Kahului Airport,Kahului,HI,3,29659,8.665632691594457,45.15355040468065,6,20.89865,-156.43046
OKC,Will Rogers World Airport,Oklahoma City,OK,0,21061,9.035088552300461,53.11967668186924,12,35.39309,-97.60073
OMA,Eppley Airfield,Omaha,NE,0,22309,8.755121251512842,51.23060001730652,11,41.30252,-95.89417
ONT,Ontario International Airport,Ontario,CA,0,24008,10.943602132622459,56.207645736298296,10,34.056,-117.60119
ORD,Chicago O'Hare International Airport,Chicago,IL,4,255071,12.400041557056662,52.79380608880434,12,41.9796,-87.90446
ORF,Norfolk International Airport,Norfolk,VA,0,20707,13.052204568503404,70.62752302698938,12,36.89461,-76.20122
ORH,Worcester Regional Airport,Worcester,MA,1,1434,19.91492329149233,77.70916496821283,3,42.26734,-71.87571
PBI,Palm Beach International Airport,West Palm Beach,FL,1,26595,17.363639781913893,69.93044015370795,10,26.68316,-80.09559
PDX,Portland International Airport,Portland,OR,0,58004,6.889904144541756,49.57456070660365,12,45.58872,-122.5975
PGD,Punta Gorda Airport,Punta Gorda,FL,2,5905,12.312955122777307,76.34052188048356,1,26.9298,-82.0454
PHL,Philadelphia International Airport,Philadelphia,PA,4,88694,12.538074728842988,57.06448649610353,12,39.87195,-75.24114
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,4,175144,11.013063536290138,49.65758143407391,12,33.43417,-112.00806
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,2,3237,10.247142415817114,64.58755779865125,4,40.66424,-89.69331
PIE,Saint Petersburg Clearwater,Saint Petersburg Clearwater,FL,3,7655,7.448073154800784,50.78015490680795,1,27.7651,-82.627
PIT,Pittsburgh International Airport,Pittsburgh,PA,0,41493,7.441279251922011,49.46266904893193,14,40.49147,-80.23287
PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,0,11268,13.394923677671281,67.90910434784816,11,30.47331,-87.18744
PSC,Tri-Cities Airport,Pasco,WA,3,5332,6.223930982745687,51.603332139525534,4,46.26468,-119.11903
PSE,Mercedita Airport,Ponce,PR,1,1065,18.56713615023474,62.98136024651408,3,18.0083,-66.56301
PSP,Palm Springs International Airport,Palm Springs,CA,0,13738,7.995705342844665,51.378678094698145,9,33.82922,-116.50625
PVD,Theodore Francis Green State Airport,Providence,RI,0,14100,11.600851063829786,65.18034123998638,12,41.724,-71.42822
PVU,Spanish fork Municipal Airport,Provo,UT,1,1994,16.17803410230692,84.85800482208604,1,40.2338,-111.6585
PWM,Portland International Jetport,Portland,ME,0,10675,12.16056206088993,68.73074009039478,11,43.64617,-70.30875
RAP,Rapid City Regional Airport,Rapid City,SD,0,4008,10.923652694610778,74.52500051628795,8,44.04532,-103.05737
RDD,Redding Municipal Airport,Redding,CA,2,1497,10.994655978623914,77.82582859880644,1,40.50898,-122.2934
